fid,id,o,d,value,timestamp,day_type,mode
314,3284,1001253,46751,5.1800065,960,weekday,c
315,3289,1001267,1001256,0.001415682,120,weekday,c
316,3292,1001208,1001256,0.50239986,1155,weekday,c
317,3304,1001213,1001207,0.0022145945,1365,weekday,c
318,3313,10,1001256,2.4434385,960,weekday,c
319,3322,12,1001243,0.16554086,465,weekday,c
320,3323,1001244,42374,0.00011655609,1290,weekday,c
321,3328,46751,1001216,1.5789442,1125,weekday,c
322,3344,1001216,42374,0.0071419757,1365,weekday,c
323,3359,4,1001206,0.7269591,240,weekday,c
324,3368,12,42374,1.841084e-05,0,weekday,c
325,3378,1001262,1001253,0.03265085,270,weekday,c
326,3381,1001254,1001255,0.02466407,240,weekday,c
327,3386,1001208,1001216,0.020874953,165,weekday,c
328,3392,1001266,1001216,5.046807,660,weekday,c
329,3401,1001240,1001262,0.006132712,465,weekday,c
330,3417,46751,1001253,2.2644806,825,weekday,c
331,3427,1001254,1001239,0.029195042,435,weekday,c
332,3430,1001216,1001204,0.37506586,195,weekday,c
333,3433,1001202,1001218,0.24257855,375,weekday,c
334,3443,7,2,1.5183527,45,weekday,c
335,3447,1001203,1001202,0.56013095,1155,weekday,c
336,3453,1001242,1001207,0.0102471765,810,weekday,c
337,3454,10,1001253,1.2401555,420,weekday,c
338,3460,1001205,16,41.722355,1035,weekday,c
339,3482,6,15,14.416624,1005,weekday,c
340,3488,46751,1001207,0.19648571,750,weekday,c
341,3489,4,1001202,19.180029,555,weekday,c
342,3502,42374,1001244,0.00038751462,1275,weekday,c
343,3506,16,1001213,5.310603,1215,weekday,c
344,3515,60232,4,3.163275,420,weekday,c
345,3516,1001244,1001253,0.0025978752,300,weekday,c
346,3519,1001204,1001267,0.015193312,1200,weekday,c
347,3521,6,60292,13.929984,420,weekday,c
348,3524,60292,1001213,0.31044424,390,weekday,c
349,3531,1001217,1001262,2.0929372,900,weekday,c
350,3537,14,1001241,0.037919756,75,weekday,c
351,3553,1001262,2,0.87613004,1140,weekday,c
352,3624,16,10061628,17.382065,360,weekday,c
353,3664,14,1001213,1.339713,780,weekday,c
354,3676,1001206,1001208,0.0063479193,210,weekday,c
355,3686,12,1001203,0.1939614,105,weekday,c
356,3691,1001207,1001212,0.23120286,855,weekday,c
357,3723,7,1001204,46.00255,360,weekday,c
358,3725,1001206,1001208,0.028272754,300,weekday,c
359,3760,4,1001205,0.06819252,45,weekday,c
360,3774,46751,1001256,17.735723,525,weekday,c
361,3776,1001202,1001254,0.06787416,195,weekday,c
362,3790,1001266,1001254,0.89809513,375,weekday,c
363,3792,1001213,60292,0.0016809015,0,weekday,c
364,3796,1001202,3,15.540826,480,weekday,c
365,3821,2,1001253,0.10879491,180,weekday,c
366,3826,12,1001205,2.2902255,1020,weekday,c
367,3843,6,1001207,0.44225338,1080,weekday,c
368,3855,1001253,1001211,2.7724218,450,weekday,c
369,3864,1001254,1001262,0.27055067,705,weekday,c
370,3871,42374,3,0.023841707,630,weekday,c
371,3875,1001203,4,7.521575,495,weekday,c
