id,from_node,via_node,to_node,penalty
275,1174987642,1174987967,7221090538,9999999
276,60481096,60481095,60481150,9999999
277,5073991055,5073991057,5073991055,9999999
278,355171709,343148426,355171709,9999999
279,237305000,253679078,1489887800,9999999
280,3234466105,4141441609,3234466099,9999999
281,2537258521,60481280,60481348,9999999
282,730963825,343148426,105727013,9999999
283,1518160657,60481249,60481251,9999999
284,1791491787,60184898,1791491791,9999999
285,732739771,732739762,732739717,9999999
286,10069539379,10069539384,10069539379,9999999
287,343148426,355171709,343148426,9999999
288,1531257687,1531257659,1531257630,9999999
289,514372629,514372637,368401945,9999999
290,1791491787,1791491791,60184898,9999999
291,389096225,389140866,246816284,9999999
292,365342711,32432580,365342444,9999999
293,5300978524,5300978542,5300978526,9999999
294,5085750498,5081132663,32493677,9999999
295,917231605,1531257653,1531257651,9999999
296,365342711,242697372,365342711,9999999
297,361520975,57167204,57167221,9999999
298,5103089136,60481246,1518146059,9999999
299,357964035,118437733,357964027,9999999
300,242697409,242697405,242697412,9999999
301,2116847213,242697707,242697540,9999999
302,12533692236,344244316,12533692236,9999999
303,246816282,246816295,246816647,9999999
304,117652334,363723785,117652348,9999999
305,973561946,105727137,105727117,9999999
306,370298238,370298235,2147325399,9999999
307,1791491787,60184898,1791491795,9999999
308,1434276467,737471776,737471539,9999999
309,1791491802,60184898,1791491791,9999999
310,60481263,359558609,5103074650,9999999
311,11662984827,347617978,1489887796,9999999
312,242697487,242697662,5177842522,9999999
313,2116854874,2116854867,2116854871,9999999
314,359549770,357950168,359549770,9999999
315,588089077,588089061,588089076,9999999
316,3522447920,3522447912,3522456922,9999999
317,242697261,242697296,60481087,9999999
318,242697267,242697304,242697313,9999999
319,3234466105,3234466099,357950168,9999999
320,342325569,342114671,355172328,9999999
321,343859248,32339739,32339743,9999999
322,343576084,1139682088,1139713518,9999999
323,1174987642,1174987755,1174987967,9999999
324,973561946,105727137,973561957,9999999
325,60481087,242697296,242697501,9999999
326,242697409,242697405,365342711,9999999
327,5300978528,5300978540,57167125,9999999
328,2535286024,388354439,2535286030,9999999
329,1791491802,60184898,1791491795,9999999
330,13588673067,549344423,13588673066,9999999
331,245951571,245951608,245951610,9999999
332,60481098,361519572,107770637,9999999
333,365342711,242697405,242697412,9999999
334,237305000,253679078,271792962,9999999
335,973562000,264260277,5627347757,9999999
336,5171886511,245951610,5171886511,9999999
337,1531257687,1531257659,973561957,9999999
338,11878279749,60481323,4908913468,9999999
339,105726417,1081274229,1081274244,9999999
340,104345315,104345320,361520975,9999999
341,10560142365,362230988,343695959,9999999
342,730963825,343148426,730963825,9999999
343,237305008,271792909,237304986,9999999
344,32585725,388409562,389140868,9999999
345,1174987642,1174987967,1174987755,9999999
346,60481347,60481251,60481339,9999999
347,105727013,343148426,355171709,9999999
348,370296590,370296576,32432618,9999999
349,365342711,242697405,365342711,9999999
350,588089076,588089063,588089069,9999999
351,2959853394,118436795,2959853385,9999999
352,246816286,389140877,343576128,9999999
353,2116854874,2116854871,2116854867,9999999
354,105727013,343148426,105727013,9999999
355,242697352,242697344,242697360,9999999
356,105726442,1081274349,105726398,9999999
357,370296590,370296576,5868582120,9999999
358,32339750,32339757,32545127,9999999
359,2959852036,2959852033,2959852037,9999999
360,60184882,60184958,60184882,9999999
361,2199981022,363723790,5152416807,9999999
362,237304965,353272588,7917446909,9999999
363,1531257653,343148426,1531257653,9999999
364,389096229,389140867,389096231,9999999
365,2199981022,363723790,117652289,9999999
366,6171143629,828422637,6171143629,9999999
367,6415859550,2959852034,2959852045,9999999
368,60184887,5073991059,60184887,9999999
369,237304965,353272588,353272583,9999999
370,5300978533,5300978538,1541451261,9999999
371,6058438477,245951610,6058438477,9999999
372,242697589,364983170,242697594,9999999
