time,mode,id,flow_in,flow_out,max_q,mov_vehs,que_vehs,speed,density,tt,q_length,t,geometry
2025-09-23 07:00:00,all,49047,288.0,252.0,0.0,2.8085105,0.0,57.224262,2.4037197,0.61253846,,420.0,"MULTILINESTRING ((12.421395 41.808994, 12.421654 41.809261, 12.421903 41.809493, 12.422129 41.809677, 12.42264 41.810062, 12.42293 41.810253, 12.423001 41.810303, 12.423156 41.810395, 12.423164 41.810399, 12.423318 41.810506, 12.423487 41.810609, 12.423558 41.810659, 12.423724 41.810777, 12.425079 41.811659, 12.425173 41.81173, 12.425244 41.811794, 12.426456 41.812627))"
2025-09-23 07:00:00,all,49510,648.0,648.0,0.0,1.7894737,0.0,56.4579,8.628544,0.110200696,,420.0,"MULTILINESTRING ((12.422935 41.809651, 12.423031 41.80974, 12.42313 41.809791, 12.423207 41.809855, 12.423301 41.809922, 12.423593 41.810134, 12.423807 41.810315))"
2025-09-23 07:00:00,all,55248,0.0,0.0,0.0,0.0,0.0,59.3,0.0,0.04119663,,420.0,"MULTILINESTRING ((12.440904 41.799347, 12.441248 41.799608))"
2025-09-23 07:00:00,all,49700,1440.0,1356.0,0.0,4.4411764,0.0,100.972626,6.5290008,0.13473414,,420.0,"MULTILINESTRING ((12.423635 41.806744, 12.421798 41.807288, 12.421489 41.807371, 12.421189 41.807449, 12.421087 41.807473))"
2025-09-23 07:00:00,all,48369,3048.0,2964.0,14.0,9.42,0.36,82.20822,10.655254,0.21541859,,420.0,"MULTILINESTRING ((12.418586 41.807601, 12.420035 41.807402, 12.42015 41.807383, 12.420211 41.807372, 12.42028 41.807362, 12.4204 41.807343, 12.421161 41.807217, 12.42205 41.807024))"
2025-09-23 07:00:00,all,48657,576.0,540.0,4.0,1.86,0.16,36.401424,11.416798,0.2693087,,420.0,"MULTILINESTRING ((12.420002 41.806101, 12.42016 41.806652, 12.420198 41.806785, 12.420251 41.806942, 12.420326 41.807099, 12.420405 41.807282, 12.420465 41.807406, 12.420521 41.807517))"
2025-09-23 07:00:00,all,48658,492.0,468.0,10.0,2.38,0.46,30.826218,10.236711,0.45476156,,420.0,"MULTILINESTRING ((12.420002 41.806101, 12.420432 41.806833, 12.420583 41.806919, 12.420717 41.806991, 12.420874 41.807068, 12.421274 41.80709, 12.421965 41.806991, 12.42205 41.807024))"
2025-09-23 07:00:00,all,48939,1356.0,1356.0,0.0,0.0,0.0,105.0,0.0,0.021735428,,420.0,"MULTILINESTRING ((12.421087 41.807473, 12.420641 41.80755))"
2025-09-23 07:00:00,all,48620,216.0,216.0,0.0,0.0,0.0,60.7,0.0,0.053400986,,420.0,"MULTILINESTRING ((12.419857 41.805627, 12.419941 41.805877, 12.419966 41.805976, 12.420002 41.806101))"
2025-09-23 07:00:00,all,48582,300.0,288.0,3.0,1.6666666,0.14285715,44.90087,7.146484,0.15612525,,420.0,"MULTILINESTRING ((12.419948 41.806547, 12.420026 41.806773, 12.420253 41.807285, 12.420281 41.80734, 12.420364 41.807507, 12.420385 41.807546))"
2025-09-23 07:00:00,all,48807,1356.0,1356.0,0.0,0.0,0.0,105.0,0.0,0.07245543,,420.0,"MULTILINESTRING ((12.420641 41.80755, 12.420537 41.807569, 12.420369 41.807596, 12.420307 41.807607, 12.420099 41.807638, 12.419606 41.807716, 12.419351 41.807753, 12.419146 41.807777))"
2025-09-23 07:00:00,all,49481,504.0,504.0,0.0,0.0,0.0,50.9,0.0,0.012180353,,420.0,"MULTILINESTRING ((12.422831 41.8096, 12.422935 41.809651))"
2025-09-23 07:00:00,all,49777,396.0,360.0,0.0,1.3428571,0.0,45.1702,11.016598,0.16191295,,420.0,"MULTILINESTRING ((12.423807 41.810315, 12.423882 41.810483, 12.423896 41.810629, 12.423859 41.810685, 12.423724 41.810777, 12.423713 41.810797, 12.423658 41.810842, 12.423579 41.810904, 12.423459 41.810974, 12.423298 41.810988, 12.42307 41.81097))"
2025-09-23 07:00:00,all,49972,36.0,36.0,0.0,0.8333333,0.0,50.101227,6.579345,0.15168372,,420.0,"MULTILINESTRING ((12.424675 41.810929, 12.424815 41.811123, 12.424927 41.811294, 12.425052 41.811489, 12.425251 41.811677, 12.425386 41.811762, 12.425514 41.811866))"
2025-09-23 07:00:00,all,49973,216.0,216.0,0.0,1.32,0.0,49.174133,7.915093,0.20348503,,420.0,"MULTILINESTRING ((12.424675 41.810929, 12.42612 41.811971))"
2025-09-23 07:00:00,all,49776,252.0,252.0,0.0,0.0,0.0,60.7,0.0,0.041036244,,420.0,"MULTILINESTRING ((12.423807 41.810315, 12.42419 41.810555))"
2025-09-23 07:00:00,all,50181,36.0,36.0,0.0,0.8,0.0,50.138546,6.9310274,0.13812487,,420.0,"MULTILINESTRING ((12.425514 41.811866, 12.425893 41.812152, 12.426199 41.812376, 12.426456 41.812627))"
2025-09-23 07:00:00,all,51678,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.09831088,,420.0,"MULTILINESTRING ((12.430945 41.80743, 12.431523 41.807397, 12.432082 41.807354))"
2025-09-23 07:00:00,all,52250,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.08815958,,420.0,"MULTILINESTRING ((12.432998 41.807253, 12.434 41.807096))"
2025-09-23 07:00:00,all,51907,0.0,0.0,0.0,0.0,0.0,50.1,0.0,0.06569701,,420.0,"MULTILINESTRING ((12.431781 41.80777, 12.431823 41.807638, 12.431846 41.807546, 12.4319 41.80748, 12.431972 41.807413, 12.432082 41.807354))"
2025-09-23 07:00:00,all,52022,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.0077025904,,420.0,"MULTILINESTRING ((12.432147 41.807345, 12.432235 41.807333))"
2025-09-23 07:00:00,all,52023,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.10499882,,420.0,"MULTILINESTRING ((12.432147 41.807345, 12.432147 41.807294, 12.432205 41.80727, 12.432233 41.807255, 12.432252 41.807243, 12.432278 41.807221, 12.432305 41.807191, 12.432329 41.807155, 12.432353 41.807124, 12.432389 41.80708, 12.432422 41.807041, 12.43245 41.80701, 12.432486 41.806957, 12.432517 41.806903, 12.43256 41.806813, 12.432604 41.806702, 12.432665 41.806724))"
2025-09-23 07:00:00,all,52001,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.005693264,,420.0,"MULTILINESTRING ((12.432082 41.807354, 12.432147 41.807345))"
2025-09-23 07:00:00,all,52055,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.060992744,,420.0,"MULTILINESTRING ((12.432235 41.807333, 12.432663 41.807293, 12.432935 41.807254))"
2025-09-23 07:00:00,all,52056,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.075989634,,420.0,"MULTILINESTRING ((12.432235 41.807333, 12.432384 41.80722, 12.432443 41.807162, 12.432502 41.807078, 12.432653 41.806764))"
2025-09-23 07:00:00,all,52160,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.06675441,,420.0,"MULTILINESTRING ((12.432653 41.806764, 12.432649 41.806921, 12.432666 41.807047, 12.432688 41.807094, 12.432734 41.807141, 12.432773 41.807166, 12.432836 41.807198, 12.432935 41.807254))"
2025-09-23 07:00:00,all,52231,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.005426943,,420.0,"MULTILINESTRING ((12.432935 41.807254, 12.432998 41.807253))"
2025-09-23 07:00:00,all,52490,120.0,120.0,0.0,0.0,0.0,57.9,0.0,0.051323317,,420.0,"MULTILINESTRING ((12.434 41.807096, 12.434574 41.806976))"
2025-09-23 07:00:00,all,59226,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.06163968,,420.0,"MULTILINESTRING ((12.450175 41.799536, 12.450289 41.799999))"
2025-09-23 07:00:00,all,52721,168.0,168.0,0.0,0.0,0.0,47.5,0.0,0.056007158,,420.0,"MULTILINESTRING ((12.434739 41.806924, 12.4349 41.806912, 12.435004 41.806924, 12.435119 41.806949, 12.435251 41.806997))"
2025-09-23 07:00:00,all,52634,180.0,180.0,0.0,0.0,0.0,57.9,0.0,0.015417616,,420.0,"MULTILINESTRING ((12.434574 41.806976, 12.434739 41.806924))"
2025-09-23 07:00:00,all,55406,0.0,0.0,0.0,0.0,0.0,59.3,0.0,0.17414369,,420.0,"MULTILINESTRING ((12.441248 41.799608, 12.442325 41.80031, 12.442801 41.800633))"
2025-09-23 07:00:00,all,55946,2520.0,2448.0,1.0,6.179487,0.051282052,92.21477,10.66974,0.1256701,,420.0,"MULTILINESTRING ((12.442671 41.802167, 12.444399 41.801981, 12.444528 41.801967, 12.444594 41.801956, 12.444762 41.801932, 12.444966 41.801894))"
2025-09-23 07:00:00,all,56085,24.0,24.0,0.0,0.8,0.0,57.729755,2.462493,0.16882491,,420.0,"MULTILINESTRING ((12.442898 41.800564, 12.444385 41.801514))"
2025-09-23 07:00:00,all,57253,552.0,516.0,1.0,4.1714287,0.028571429,53.753582,6.8492146,0.33992454,,420.0,"MULTILINESTRING ((12.44612 41.802625, 12.448844 41.804459))"
2025-09-23 07:00:00,all,58018,1020.0,936.0,0.0,7.6595745,0.0,54.09886,9.674038,0.43906617,,420.0,"MULTILINESTRING ((12.447161 41.803601, 12.450241 41.80569, 12.450365 41.805772, 12.450695 41.805991))"
2025-09-23 07:00:00,all,58576,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.03291277,,420.0,"MULTILINESTRING ((12.448844 41.804459, 12.448864 41.804444, 12.448892 41.804422, 12.448967 41.80439, 12.449062 41.804321, 12.449106 41.804306))"
2025-09-23 07:00:00,all,55556,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.111293264,,420.0,"MULTILINESTRING ((12.44192 41.799932, 12.442381 41.800232, 12.442898 41.800564))"
2025-09-23 07:00:00,all,53396,0.0,0.0,0.0,0.0,0.0,50.9,0.0,0.005236149,,420.0,"MULTILINESTRING ((12.43673 41.803487, 12.436779 41.803471))"
2025-09-23 07:00:00,all,55481,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.050943002,,420.0,"MULTILINESTRING ((12.441472 41.799643, 12.44192 41.799932))"
2025-09-23 07:00:00,all,54556,2832.0,2724.0,0.0,7.45,0.0,94.319664,11.523428,0.13708891,,420.0,"MULTILINESTRING ((12.439419 41.802542, 12.440456 41.802413, 12.441981 41.802243))"
2025-09-23 07:00:00,all,55661,2724.0,2724.0,0.0,0.0,0.0,105.0,0.0,0.033121143,,420.0,"MULTILINESTRING ((12.441981 41.802243, 12.442671 41.802167))"
2025-09-23 07:00:00,all,55947,204.0,204.0,0.0,0.95238096,0.0,47.661366,9.941762,0.12059578,,420.0,"MULTILINESTRING ((12.442671 41.802167, 12.442847 41.802059, 12.442934 41.801987, 12.442993 41.801904, 12.443039 41.801793, 12.44306 41.801675, 12.443071 41.801563, 12.443042 41.801411))"
