id,cycle,phases
21,130,"[{""from_link"": 214303, ""to_link"": 77641, ""t_start"": 0, ""t_end"": 90, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77641, ""via_link"": 77598, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 77549, ""to_link"": 77696, ""via_link"": 77597, ""t_start"": 90, ""t_end"": 0, ""type"": ""straight""}]"
22,130,"[{""from_link"": 74013, ""to_link"": 73932, ""t_start"": 0, ""t_end"": 68, ""type"": ""straight""}, {""from_link"": 74014, ""to_link"": 73932, ""t_start"": 0, ""t_end"": 94, ""type"": ""straight""}, {""from_link"": 74014, ""to_link"": 73953, ""via_link"": -73954, ""t_start"": 68, ""t_end"": 94, ""type"": ""straight""}]"
23,130,"[{""from_link"": 214617, ""to_link"": 73414, ""via_link"": 73511, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73414, ""to_link"": 73415, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73286, ""to_link"": 73328, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73360, ""to_link"": 73409, ""t_start"": 0, ""t_end"": 80, ""type"": ""straight""}, {""from_link"": 73345, ""to_link"": 73414, ""via_link"": 73408, ""t_start"": 80, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 73345, ""to_link"": 73542, ""via_link"": 73407, ""t_start"": 80, ""t_end"": 0, ""type"": ""straight""}]"
24,130,"[{""from_link"": 73504, ""to_link"": 214336, ""t_start"": 0, ""t_end"": 82, ""type"": ""straight""}, {""from_link"": 73446, ""to_link"": 73285, ""t_start"": 0, ""t_end"": 82, ""type"": ""straight""}, {""from_link"": 214337, ""to_link"": 214336, ""t_start"": 82, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 214337, ""to_link"": 73285, ""via_link"": 214326, ""t_start"": 82, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 72854, ""to_link"": 73285, ""t_start"": 82, ""t_end"": 0, ""type"": ""straight""}]"
25,130,"[{""from_link"": 74335, ""to_link"": 74304, ""t_start"": 0, ""t_end"": 96, ""type"": ""straight""}, {""from_link"": 74335, ""to_link"": 74374, ""via_link"": 72334, ""t_start"": 0, ""t_end"": 36, ""type"": ""straight""}, {""from_link"": 74340, ""to_link"": 74375, ""t_start"": 36, ""t_end"": 96, ""type"": ""straight""}, {""from_link"": -74374, ""to_link"": 74375, ""t_start"": 0, ""t_end"": 36, ""type"": ""straight""}, {""from_link"": -74374, ""to_link"": 74304, ""via_link"": -74334, ""t_start"": 96, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 74340, ""to_link"": 74374, ""t_start"": 0, ""t_end"": 36, ""type"": ""straight""}, {""from_link"": 74340, ""to_link"": 74374, ""t_start"": 96, ""t_end"": 0, ""type"": ""straight""}]"
26,80,"[{""from_link"": -64620, ""to_link"": -64456, ""t_start"": 0, ""t_end"": 50, ""type"": ""straight""}, {""from_link"": -64621, ""to_link"": -64456, ""t_start"": 50, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 64456, ""to_link"": 64621, ""t_start"": 50, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 64456, ""to_link"": 64620, ""t_start"": 0, ""t_end"": 50, ""type"": ""straight""}]"
27,70,"[{""from_link"": 54610, ""to_link"": -54468, ""via_link"": 54599, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 54468, ""to_link"": 54647, ""via_link"": 54600, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}]"
28,70,"[{""from_link"": 55405, ""to_link"": 55613, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55405, ""to_link"": 55612, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55405, ""to_link"": -55387, ""via_link"": -55588, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55587, ""to_link"": -55387, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55587, ""to_link"": 55613, ""via_link"": 55588, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55587, ""to_link"": 55370, ""t_start"": 0, ""t_end"": 31, ""type"": ""straight""}, {""from_link"": 55387, ""to_link"": 55613, ""via_link"": 55588, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 55387, ""to_link"": 55612, ""via_link"": 55588, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 55387, ""to_link"": 55370, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -55613, ""to_link"": 55612, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -55613, ""to_link"": -55588, ""via_link"": 55370, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -55613, ""to_link"": -55588, ""via_link"": -55387, ""t_start"": 30, ""t_end"": 0, ""type"": ""straight""}]"
29,87,"[{""from_link"": 56305, ""to_link"": 56478, ""via_link"": 56438, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 56305, ""to_link"": 56439, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": 56305, ""to_link"": -56202, ""via_link"": -56405, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -56478, ""to_link"": 56246, ""via_link"": 56406, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -56478, ""to_link"": -56202, ""via_link"": 56406, ""t_start"": 0, ""t_end"": 40, ""type"": ""straight""}, {""from_link"": -56439, ""to_link"": -56202, ""via_link"": -56405, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -56439, ""to_link"": 56246, ""via_link"": -56405, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -56439, ""to_link"": 56478, ""via_link"": 56438, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 56202, ""to_link"": 56246, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 56202, ""to_link"": -56439, ""via_link"": 56405, ""t_start"": 40, ""t_end"": 0, ""type"": ""straight""}]"
30,100,"[{""from_link"": -61696, ""to_link"": -60763, ""via_link"": 61575, ""t_start"": 61, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": 60763, ""to_link"": -61277, ""via_link"": 61576, ""t_start"": 61, ""t_end"": 0, ""type"": ""straight""}, {""from_link"": -61696, ""to_link"": -61277, ""via_link"": -61655, ""t_start"": 41, ""t_end"": 61, ""type"": ""straight""}, {""from_link"": 61277, ""to_link"": -60763, ""via_link"": -61576, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}, {""from_link"": 61277, ""to_link"": 61696, ""via_link"": 61655, ""t_start"": 0, ""t_end"": 35, ""type"": ""straight""}]"
