o,d,timestamp,value
1001254.0,1001202.0,795,1.3472890908039927
1001254.0,1001202.0,810,1.3490941254780635
1001254.0,1001202.0,825,1.3484766990333221
1001254.0,1001202.0,840,1.3452346462644806
1001254.0,1001202.0,855,1.339243574597836
1001254.0,1001202.0,870,1.3303993995119467
1001254.0,1001202.0,885,1.3185790682358605
1001254.0,1001202.0,900,1.30361886902174
1001254.0,1001202.0,915,1.2853090194422825
1001254.0,1001202.0,930,1.2634026788521668
1001254.0,1001202.0,945,1.2376369461174743
1001254.0,1001202.0,960,1.2077627548352305
1001254.0,1001202.0,975,1.1735799527081476
1001254.0,1001202.0,990,1.1349733963388253
1001254.0,1001202.0,1005,1.0919457560392274
1001254.0,1001202.0,1020,1.0446430119715775
1001254.0,1001202.0,1035,0.9933693645905126
1001254.0,1001202.0,1050,0.9385894267699771
1001254.0,1001202.0,1065,0.8809169837732664
1001254.0,1001202.0,1080,0.8210911183867807
1001254.0,1001202.0,1095,0.7599418992015897
1001254.0,1001202.0,1110,0.6983489324087386
1001254.0,1001202.0,1125,0.6371967412092451
1001254.0,1001202.0,1140,0.5773310916138229
1001254.0,1001202.0,1155,0.5195200374177585
1001254.0,1001202.0,1170,0.46442269192817953
1001254.0,1001202.0,1185,0.41256768575881236
1001254.0,1001202.0,1200,0.36434210312621806
1001254.0,1001202.0,1215,0.31999056742157883
1001254.0,1001202.0,1230,0.2796232079893938
1001254.0,1001202.0,1245,0.2432305773111113
1001254.0,1001202.0,1260,0.21070324202091023
1001254.0,1001202.0,1275,0.1818537326465048
1001254.0,1001202.0,1290,0.15643875533369317
1001254.0,1001202.0,1305,0.13417996806268553
1001254.0,1001202.0,1320,0.11478211864029636
1001254.0,1001202.0,1335,0.097947851954167
1001254.0,1001202.0,1350,0.0833889554137291
1001254.0,1001202.0,1365,0.07083418162038965
1001254.0,1001202.0,1380,0.06003404611605766
1001254.0,1001202.0,1395,0.050763145275726604
1001254.0,1001202.0,1410,0.042820589268875046
1001254.0,1001202.0,1425,0.03602912021347413
1001254.0,1001203.0,0,0.0074682339191253595
1001254.0,1001203.0,15,0.009134127581035219
1001254.0,1001203.0,30,0.01112987451348039
1001254.0,1001203.0,45,0.013512680141328923
1001254.0,1001203.0,60,0.016349711938675668
1001254.0,1001203.0,75,0.019721467302703116
1001254.0,1001203.0,90,0.02372741276080707
1001254.0,1001203.0,105,0.028495338510167566
1001254.0,1001203.0,120,0.03419648169378799
1001254.0,1001203.0,135,0.041069102722561285
1001254.0,1001203.0,150,0.049453650741725946
1001254.0,1001203.0,165,0.05984258464017493
1001254.0,1001203.0,180,0.07294683998936193
1001254.0,1001203.0,195,0.0897782859125158
1001254.0,1001203.0,210,0.11174281377236311
1001254.0,1001203.0,225,0.1407317985110855
1001254.0,1001203.0,240,0.17919110792575532
1001254.0,1001203.0,255,0.23013812762264768
1001254.0,1001203.0,270,0.2970910547446284
1001254.0,1001203.0,285,0.3838744883366117
1001254.0,1001203.0,300,0.4942747011614578
1001254.0,1001203.0,315,0.6315393389477049
1001254.0,1001203.0,330,0.7977493956722015
1001254.0,1001203.0,345,0.9931319584372857
1001254.0,1001203.0,360,1.2154219331051135
1001254.0,1001203.0,375,1.4594081534193046
1001254.0,1001203.0,390,1.7168019866091129
1001254.0,1001203.0,405,1.976536379934065
1001254.0,1001203.0,420,2.225539308465815
1001254.0,1001203.0,435,2.4499366750286864
1001254.0,1001203.0,450,2.6365440950352705
1001254.0,1001203.0,465,2.774428345140231
1001254.0,1001203.0,480,2.856280204739399
1001254.0,1001203.0,495,2.8793553999891697
1001254.0,1001203.0,510,2.845810227458071
1001254.0,1001203.0,525,2.7623690675044172
1001254.0,1001203.0,540,2.6393866709412537
1001254.0,1001203.0,555,2.4894787297253798
1001254.0,1001203.0,570,2.325964098129657
1001254.0,1001203.0,585,2.1613769936930995
1001254.0,1001203.0,600,2.0062684331940566
1001254.0,1001203.0,615,1.868437474373121
1001254.0,1001203.0,630,1.7526371786576387
1001254.0,1001203.0,645,1.660711257271402
1001254.0,1001203.0,660,1.592053330360855
1001254.0,1001203.0,675,1.5442505087307508
1001254.0,1001203.0,690,1.51377566724217
1001254.0,1001203.0,705,1.4966199256162942
1001254.0,1001203.0,720,1.4887965378502328
1001254.0,1001203.0,735,1.4866880249578507
1001254.0,1001203.0,750,1.4872415058012276
1001254.0,1001203.0,765,1.4880385953012538
1001254.0,1001203.0,780,1.4872756896794468
1001254.0,1001203.0,795,1.483690366005621
1001254.0,1001203.0,810,1.4764635739833982
1001254.0,1001203.0,825,1.465118773945265
1001254.0,1001203.0,840,1.4494307902892969
1001254.0,1001203.0,855,1.4293504005124866
1001254.0,1001203.0,870,1.404946073313408
1001254.0,1001203.0,885,1.376361636973313
1001254.0,1001203.0,900,1.3437874993582455
1001254.0,1001203.0,915,1.3074427854686066
1001254.0,1001203.0,930,1.2675659347134336
1001254.0,1001203.0,945,1.2244115941991296
1001254.0,1001203.0,960,1.1782518982509846
1001254.0,1001203.0,975,1.1293803979889925
1001254.0,1001203.0,990,1.0781170281378722
1001254.0,1001203.0,1005,1.0248126289342987
1001254.0,1001203.0,1020,0.9698517327389652
1001254.0,1001203.0,1035,0.9136526089796725
1001254.0,1001203.0,1050,0.8566639385829611
1001254.0,1001203.0,1065,0.7993579327869114
1001254.0,1001203.0,1080,0.7422201729835268
1001254.0,1001203.0,1095,0.685736870217659
1001254.0,1001203.0,1110,0.6303805699987194
1001254.0,1001203.0,1125,0.5765955184545057
1001254.0,1001203.0,1140,0.52478393886344
1001254.0,1001203.0,1155,0.47529434660014136
1001254.0,1001203.0,1170,0.42841278132572025
1001254.0,1001203.0,1185,0.3843575004902403
1001254.0,1001203.0,1200,0.34327730918259736
1001254.0,1001203.0,1215,0.305253349046743
1001254.0,1001203.0,1230,0.2703038760931685
1001254.0,1001203.0,1245,0.23839135260254812
1001254.0,1001203.0,1260,0.20943107438245268
1001254.0,1001203.0,1275,0.18330054804013263
1001254.0,1001203.0,1290,0.1598489076432513
1001254.0,1001203.0,1305,0.13890579211827525
1001254.0,1001203.0,1320,0.1202892670429471
1001254.0,1001203.0,1335,0.10381254184186409
1001254.0,1001203.0,1350,0.089289385496035
1001254.0,1001203.0,1365,0.07653826720836318
1001254.0,1001203.0,1380,0.06538533658062813
1001254.0,1001203.0,1395,0.05566641049416871
1001254.0,1001203.0,1410,0.04722815535481344
1001254.0,1001203.0,1425,0.03992865065498791
1001254.0,1001204.0,0,0.008711806806128902
1001254.0,1001204.0,15,0.010654771161088901
1001254.0,1001204.0,30,0.012982028347428853
1001254.0,1001204.0,45,0.015759728176220025
1001254.0,1001204.0,60,0.01906502851856183
1001254.0,1001204.0,75,0.022989457074807505
1001254.0,1001204.0,90,0.02764447682410879
1001254.0,1001204.0,105,0.033170660352858025
1001254.0,1001204.0,120,0.039752472769883786
1001254.0,1001204.0,135,0.04764127850107024
1001254.0,1001204.0,150,0.057189628110971454
1001254.0,1001204.0,165,0.0688998132448418
1001254.0,1001204.0,180,0.08348862758729089
1001254.0,1001204.0,195,0.10196768880766732
1001254.0,1001204.0,210,0.12573408705146016
1001254.0,1001204.0,225,0.15665938985891964
1001254.0,1001204.0,240,0.197156673159955
1001254.0,1001204.0,255,0.2501967494134709
1001254.0,1001204.0,270,0.3192386990744572
1001254.0,1001204.0,285,0.4080395935218315
1001254.0,1001204.0,300,0.5203174334266946
1001254.0,1001204.0,315,0.6592621805444249
1001254.0,1001204.0,330,0.8269220765384404
1001254.0,1001204.0,345,1.0235321206703953
1001254.0,1001204.0,360,1.2468903512786034
1001254.0,1001204.0,375,1.4919141218161964
1001254.0,1001204.0,390,1.7505112106962613
1001254.0,1001204.0,405,2.0118711581497197
1001254.0,1001204.0,420,2.2632197684564384
1001254.0,1001204.0,435,2.4909929309660823
1001254.0,1001204.0,450,2.682292580692746
1001254.0,1001204.0,465,2.8264108480791568
1001254.0,1001204.0,480,2.916170337918561
1001254.0,1001204.0,495,2.9488431123133987
1001254.0,1001204.0,510,2.9264791677184805
1001254.0,1001204.0,525,2.8555832063560675
1001254.0,1001204.0,540,2.74620119427044
1001254.0,1001204.0,555,2.6105861995666824
1001254.0,1001204.0,570,2.4616811983681632
1001254.0,1001204.0,585,2.3116711312513796
1001254.0,1001204.0,600,2.1708183164370114
1001254.0,1001204.0,615,2.046718450670548
1001254.0,1001204.0,630,1.9440209449860968
1001254.0,1001204.0,645,1.8645703528825923
1001254.0,1001204.0,660,1.8078629349382362
1001254.0,1001204.0,675,1.7716826550293487
1001254.0,1001204.0,690,1.752783228235052
1001254.0,1001204.0,705,1.747509081452693
1001254.0,1001204.0,720,1.7522866299124995
1001254.0,1001204.0,735,1.763956861723128
1001254.0,1001204.0,750,1.7799526625654607
1001254.0,1001204.0,765,1.798345568586845
1001254.0,1001204.0,780,1.8177964908853281
1001254.0,1001204.0,795,1.8374457730630287
1001254.0,1001204.0,810,1.8567731748439313
1001254.0,1001204.0,825,1.8754513129822994
1001254.0,1001204.0,840,1.8932091270311093
1001254.0,1001204.0,855,1.9097163328678497
1001254.0,1001204.0,870,1.924495862849006
1001254.0,1001204.0,885,1.936868614561241
1001254.0,1001204.0,900,1.9459328250904
1001254.0,1001204.0,915,1.9505784766167529
1001254.0,1001204.0,930,1.9495349635628914
1001254.0,1001204.0,945,1.9414477394856342
1001254.0,1001204.0,960,1.9249770042730021
1001254.0,1001204.0,975,1.8989090604233239
1001254.0,1001204.0,990,1.8622692023969534
1001254.0,1001204.0,1005,1.814424301975344
1001254.0,1001204.0,1020,1.7551638705613113
1001254.0,1001204.0,1035,1.6847503658826195
1001254.0,1001204.0,1050,1.6039326870339592
1001254.0,1001204.0,1065,1.513920784278581
1001254.0,1001204.0,1080,1.4163235717505547
1001254.0,1001204.0,1095,1.3130562923000793
1001254.0,1001204.0,1110,1.206226610588423
1001254.0,1001204.0,1125,1.0980106051475915
1001254.0,1001204.0,1140,0.9905302924182942
1001254.0,1001204.0,1155,0.8857433680002538
1001254.0,1001204.0,1170,0.7853537204967669
1001254.0,1001204.0,1185,0.6907483435225024
1001254.0,1001204.0,1200,0.6029630034869484
1001254.0,1001204.0,1215,0.5226758750361509
1001254.0,1001204.0,1230,0.45022571935605593
1001254.0,1001204.0,1245,0.38564931541589464
1001254.0,1001204.0,1260,0.3287318759547163
1001254.0,1001204.0,1275,0.27906406186599264
1001254.0,1001204.0,1290,0.23609980984807422
1001254.0,1001204.0,1305,0.19921029586533184
1001254.0,1001204.0,1320,0.16773073195704624
1001254.0,1001204.0,1335,0.14099811181911595
1001254.0,1001204.0,1350,0.11837930159199551
1001254.0,1001204.0,1365,0.09928989734335569
1001254.0,1001204.0,1380,0.08320498407905
1001254.0,1001204.0,1395,0.0696633322835646
1001254.0,1001204.0,1410,0.05826669719276591
1001254.0,1001204.0,1425,0.048675807144146876
1001254.0,1001205.0,0,0.003064029176510074
1001254.0,1001205.0,15,0.0037473914602902617
1001254.0,1001205.0,30,0.004565916908774233
1001254.0,1001205.0,45,0.005542875315126168
1001254.0,1001205.0,60,0.006705412594119955
1001254.0,1001205.0,75,0.00808573729170873
1001254.0,1001205.0,90,0.009723085408422288
1001254.0,1001205.0,105,0.011666959799132768
1001254.0,1001205.0,120,0.013982350356774259
1001254.0,1001205.0,135,0.016757858574386823
1001254.0,1001205.0,150,0.020117805762431
1001254.0,1001205.0,165,0.024239380166177767
1001254.0,1001205.0,180,0.029375507365514315
1001254.0,1001205.0,195,0.03588321621551541
1001254.0,1001205.0,210,0.044255651900785266
1001254.0,1001205.0,225,0.055153509067644324
1001254.0,1001205.0,240,0.06942870570066938
1001254.0,1001205.0,255,0.08813011725455744
1001254.0,1001205.0,270,0.11247904881713847
1001254.0,1001205.0,285,0.1438020460624386
1001254.0,1001205.0,300,0.1834118719197068
1001254.0,1001205.0,315,0.23243484013786928
1001254.0,1001205.0,330,0.2915941086733193
1001254.0,1001205.0,345,0.36097254756694575
1001254.0,1001205.0,360,0.43979248807709187
1001254.0,1001205.0,375,0.526259034072954
1001254.0,1001205.0,390,0.6175145519368879
1001254.0,1001205.0,405,0.7097415567773019
1001254.0,1001205.0,420,0.798429157748263
1001254.0,1001205.0,435,0.878787578457125
1001254.0,1001205.0,450,0.9462623094005417
1001254.0,1001205.0,465,0.9970723387353011
1001254.0,1001205.0,480,1.0286834497851198
1001254.0,1001205.0,495,1.0401327416725816
1001254.0,1001205.0,510,1.032144618489762
1001254.0,1001205.0,525,1.007016634452753
1001254.0,1001205.0,540,0.9682969091501337
1001254.0,1001205.0,555,0.9203129658908803
1001254.0,1001205.0,570,0.8676359277876498
1001254.0,1001205.0,585,0.8145691603862087
1001254.0,1001205.0,600,0.764736968509601
1001254.0,1001205.0,615,0.7208218082178813
1001254.0,1001205.0,630,0.6844654633835485
1001254.0,1001205.0,645,0.65631891869083
1001254.0,1001205.0,660,0.6362035163644248
1001254.0,1001205.0,675,0.6233354807558565
1001254.0,1001205.0,690,0.6165667182910642
1001254.0,1001205.0,705,0.614604069127323
1001254.0,1001205.0,720,0.6161827991635298
1001254.0,1001205.0,735,0.6201841019386232
1001254.0,1001205.0,750,0.6256978346804243
1001254.0,1001205.0,765,0.6320392159020621
1001254.0,1001205.0,780,0.6387316867016914
1001254.0,1001205.0,795,0.6454684188871258
1001254.0,1001205.0,810,0.6520632592062252
1001254.0,1001205.0,825,0.6583993942164612
1001254.0,1001205.0,840,0.6643815505564581
1001254.0,1001205.0,855,0.6698955575914722
1001254.0,1001205.0,870,0.6747776949176866
1001254.0,1001205.0,885,0.6787953028404543
1001254.0,1001205.0,900,0.6816394335105832
1001254.0,1001205.0,915,0.682929660031315
1001254.0,1001205.0,930,0.682230413071944
1001254.0,1001205.0,945,0.6790773518760576
1001254.0,1001205.0,960,0.6730113634183865
