id,from_node,via_node,to_node,penalty
388,1125630359,398804402,1125630088,9999999
389,311075420,356949232,277730489,9999999
390,422264917,422264914,298919854,9999999
391,305091895,305091840,400700018,9999999
392,2526568137,277730486,277730488,9999999
393,1200136516,305099399,305099454,9999999
394,246579179,252528808,246579180,9999999
395,920281633,920281559,1957360642,9999999
396,3066771540,1803896277,2316535097,9999999
397,303199319,260980545,303199225,9999999
398,395229032,305090246,305085970,9999999
399,1200136724,1200136537,286718201,9999999
400,305090261,395229032,305090246,9999999
401,305100900,394747230,394747228,9999999
402,277730488,277730489,277730488,9999999
403,305087479,1235831240,262123312,9999999
404,3066771541,2318233350,1803896268,9999999
405,286718407,286718405,1200136612,9999999
406,372721676,1389060301,369687560,9999999
407,1179067024,248837258,1179066926,9999999
408,9552006013,9552005961,9552006013,9999999
409,2526568137,277730486,277730483,9999999
410,321845534,901749150,901748586,9999999
411,248678326,2295094056,248681277,9999999
412,246666018,246665999,246579171,9999999
413,303203448,303203349,303203305,9999999
414,372717154,1236600876,372717177,9999999
415,5336920282,5336920281,1641271266,9999999
416,1235826664,372721682,1235826664,9999999
417,286718405,1200136612,286718405,9999999
418,1236041494,450383469,401948346,9999999
419,2316535101,2316535104,2316535101,9999999
420,1812356475,1812356477,1554560897,9999999
421,306696126,376750215,1693848695,9999999
422,262122456,262121285,253708552,9999999
423,298919491,298921354,298921412,9999999
424,305092702,305091450,1200136509,9999999
425,391278627,253708637,252993243,9999999
426,561206603,428171149,2279331951,9999999
427,428214536,5208018203,9552006349,9999999
428,1271941853,372717220,372717177,9999999
429,395229033,395229032,305090246,9999999
430,400700292,305100899,394747230,9999999
431,248681287,248681293,1092776135,9999999
432,302977650,963152607,302977650,9999999
433,260980928,157436140,612589719,9999999
434,257570659,1961914186,1213228328,9999999
435,305085972,305086290,305090874,9999999
436,1236041282,304452861,304452860,9999999
437,394734004,157474096,157454131,9999999
438,901747761,321841042,901749150,9999999
439,1957360642,1957360641,920281560,9999999
440,304463088,560185228,304463088,9999999
441,1824805868,304463088,560185228,9999999
442,9551945299,2316535101,9551945299,9999999
443,262122455,262122456,262121285,9999999
444,1803896277,2316535097,1803896277,9999999
445,297378900,252528534,298922011,9999999
446,400700292,305100900,1503542206,9999999
447,422264917,422264914,298919508,9999999
448,419131770,961868143,304458394,9999999
449,618934330,306726391,306726774,9999999
450,1200136509,305091450,1200136509,9999999
451,2405012627,617994588,2405012625,9999999
452,624435895,972145843,624435895,9999999
453,305099813,9717574455,305100030,9999999
454,257570659,1961914186,706012726,9999999
455,305090117,303203448,254789995,9999999
456,304457443,304457632,304458774,9999999
457,304462433,304462432,10050981523,9999999
458,11007944046,427841383,248681266,9999999
459,8827032399,5336920282,920272880,9999999
460,398972517,332450603,332450600,9999999
461,305086290,395229033,305090874,9999999
462,330718870,298571322,330719660,9999999
463,298570967,330718978,298571109,9999999
464,252528534,298922011,339039665,9999999
465,9552007042,3528139618,9552007043,9999999
466,1803896268,2318233350,1803896268,9999999
467,1342065100,10934580334,1342065100,9999999
468,298924096,298924177,298924168,9999999
469,285882243,280934925,280934913,9999999
470,369687556,369687560,2371678175,9999999
471,248681267,2312074608,248678326,9999999
472,372727145,1200136655,1200136395,9999999
473,322271653,1342065155,1342065118,9999999
474,8827032399,920272880,920272881,9999999
475,277730488,277730489,356949232,9999999
476,1179067024,248837258,252994752,9999999
477,305100947,305100927,314390746,9999999
478,304463088,560185228,252940228,9999999
479,253708552,262121285,262122459,9999999
480,257570659,1961914186,298922085,9999999
481,298920996,1339496425,260980639,9999999
482,304456782,391287244,391287248,9999999
483,394747230,400700288,332450606,9999999
484,246781223,246666011,246781215,9999999
485,1200136367,286413992,305088128,9999999
486,304462433,304462432,250903498,9999999
487,305100900,394747230,305100899,9999999
488,289942106,2295094056,248681277,9999999
489,306696126,376750215,306696126,9999999
490,391287247,391287245,304456783,9999999
491,1200136384,1200136612,1200136673,9999999
492,297378900,252528534,1187106397,9999999
493,1179066926,253281900,729745505,9999999
494,252528523,298921671,706162855,9999999
495,1957342745,305094070,305099823,9999999
496,157435929,394744156,157435929,9999999
497,303199225,260980545,303199237,9999999
498,394747230,305100899,400700288,9999999
499,9552007042,3528139618,9552007047,9999999
