WKT,id
"MULTIPOLYGON (((12.461119847956 41.8092132983878,12.4648379217146 41.8137110033444,12.4691248244903 41.811939610796,12.4740232823644 41.8040800796715,12.4666305269805 41.7970722686189,12.4608676946622 41.8068418776212,12.461119847956 41.8092132983878)))",1001218
"MULTIPOLYGON (((12.4630556866543 41.86211257812,12.4669596517155 41.8433839918659,12.4607460573016 41.8385534572485,12.4518099087008 41.86211257812,12.4630556866543 41.86211257812)))",1001240
"MULTIPOLYGON (((12.4692961127409 41.86211257812,12.4768077614428 41.8469415131085,12.473574263932 41.8386669597398,12.4673774119211 41.8426132143676,12.4669596517155 41.8433839918659,12.4630556866543 41.86211257812,12.4692961127409 41.86211257812)))",1001201
"MULTIPOLYGON (((12.4669709836269 41.8202509286912,12.4778081586389 41.8211412097025,12.4780756063716 41.8209105714303,12.4790433742658 41.8198532634041,12.4787608009465 41.8156309508474,12.4691248244903 41.811939610796,12.4648379217146 41.8137110033444,12.46428059709 41.816911109126,12.4669709836269 41.8202509286912)))",1001217
"MULTIPOLYGON (((12.4673774119211 41.8426132143676,12.473574263932 41.8386669597398,12.4738803955464 41.837707618715,12.4699965938971 41.8344194517436,12.465597897962 41.8364632230499,12.4673774119211 41.8426132143676)))",1001208
"MULTIPOLYGON (((12.4624727795097 41.8353750737732,12.465597897962 41.8364632230499,12.4699965938971 41.8344194517436,12.4691254898328 41.8282410814364,12.468769309518 41.8280058814183,12.4614919584698 41.8307037716347,12.4624727795097 41.8353750737732)))",1001202
"MULTIPOLYGON (((12.4691254898328 41.8282410814364,12.475471540574 41.8276960422269,12.4778081586389 41.8211412097025,12.4669709836269 41.8202509286912,12.468769309518 41.8280058814183,12.4691254898328 41.8282410814364)))",1001204
"MULTIPOLYGON (((12.4691248244903 41.811939610796,12.4787608009465 41.8156309508474,12.4831516461826 41.8101789096399,12.4771772329786 41.8037008774737,12.4740232823644 41.8040800796715,12.4691248244903 41.811939610796)))",1001216
"MULTIPOLYGON (((12.4699965938971 41.8344194517436,12.4738803955464 41.837707618715,12.4791698938933 41.834870814992,12.4793893839682 41.8344772323926,12.4782282616294 41.8309295719088,12.475471540574 41.8276960422269,12.4691254898328 41.8282410814364,12.4699965938971 41.8344194517436)))",1001203
"MULTIPOLYGON (((12.5105172342402 41.86211257812,12.5105172342402 41.8505724538323,12.4805226501658 41.8448398028115,12.4768077614428 41.8469415131085,12.4692961127409 41.86211257812,12.5105172342402 41.86211257812)))",15
"MULTIPOLYGON (((12.4738803955464 41.837707618715,12.473574263932 41.8386669597398,12.4768077614428 41.8469415131085,12.4805226501658 41.8448398028115,12.4811803485205 41.8395637676711,12.4791698938933 41.834870814992,12.4738803955464 41.837707618715)))",1001239
"MULTIPOLYGON (((12.475471540574 41.8276960422269,12.4782282616294 41.8309295719088,12.4812241286853 41.8281017927745,12.4814689801612 41.8269664342273,12.4780756063716 41.8209105714303,12.4778081586389 41.8211412097025,12.475471540574 41.8276960422269)))",1001241
"MULTIPOLYGON (((12.4771772329786 41.8037008774737,12.4831516461826 41.8101789096399,12.4853623016521 41.8100161029343,12.4897307772929 41.8066522249902,12.4849683210643 41.8003671567511,12.4819154476862 41.7994670611275,12.4791499920911 41.8003376777763,12.4771772329786 41.8037008774737)))",60232
"MULTIPOLYGON (((12.4793893839682 41.8344772323926,12.4952859638749 41.8319276175365,12.4886324253771 41.8275570248173,12.4812241286853 41.8281017927745,12.4782282616294 41.8309295719088,12.4793893839682 41.8344772323926)))",12
"MULTIPOLYGON (((12.4787608009465 41.8156309508474,12.4790433742658 41.8198532634041,12.4832623162267 41.8214369275709,12.4893066019234 41.8173810797073,12.4853623016521 41.8100161029343,12.4831516461826 41.8101789096399,12.4787608009465 41.8156309508474)))",60292
"MULTIPOLYGON (((12.4780756063716 41.8209105714303,12.4814689801612 41.8269664342273,12.4846277268108 41.8236323475503,12.4832623162267 41.8214369275709,12.4790433742658 41.8198532634041,12.4780756063716 41.8209105714303)))",10061628
"MULTIPOLYGON (((12.4814689801612 41.8269664342273,12.4812241286853 41.8281017927745,12.4886324253771 41.8275570248173,12.4846277268108 41.8236323475503,12.4814689801612 41.8269664342273)))",11
"MULTIPOLYGON (((12.5105172342402 41.8349791096201,12.4952859638749 41.8319276175365,12.4793893839682 41.8344772323926,12.4791698938933 41.834870814992,12.4811803485205 41.8395637676711,12.5105172342402 41.8455978412391,12.5105172342402 41.8349791096201)))",13
"MULTIPOLYGON (((12.5105172342402 41.8455978412391,12.4811803485205 41.8395637676711,12.4805226501658 41.8448398028115,12.5105172342402 41.8505724538323,12.5105172342402 41.8455978412391)))",14
"MULTIPOLYGON (((12.4868931163628 41.7983662961959,12.4845378228419 41.7938350779339,12.4819154476862 41.7994670611275,12.4849683210643 41.8003671567511,12.4868931163628 41.7983662961959)))",59899
"MULTIPOLYGON (((12.5105172342402 41.7915386702348,12.4868931163628 41.7983662961959,12.4849683210643 41.8003671567511,12.4897307772929 41.8066522249902,12.5105172342402 41.8009696013879,12.5105172342402 41.7915386702348)))",8
"MULTIPOLYGON (((12.5105172342402 41.8271510244813,12.4893066019234 41.8173810797073,12.4832623162267 41.8214369275709,12.4846277268108 41.8236323475503,12.4886324253771 41.8275570248173,12.4952859638749 41.8319276175365,12.5105172342402 41.8349791096201,12.5105172342402 41.8271510244813)))",10
"MULTIPOLYGON (((12.5105172342402 41.8009696013879,12.4897307772929 41.8066522249902,12.4853623016521 41.8100161029343,12.4893066019234 41.8173810797073,12.5105172342402 41.8271510244813,12.5105172342402 41.8009696013879)))",9
"MULTIPOLYGON (((12.5105172342402 41.782169048502,12.4867041795425 41.782169048502,12.4845378228419 41.7938350779339,12.4868931163628 41.7983662961959,12.5105172342402 41.7915386702348,12.5105172342402 41.782169048502)))",7
