WKT,id,from_node,to_node,length,v0,connector,lanes,alpha,rcr,capacity,modes
"MULTILINESTRING ((12.4468815186792 41.8120472938402,12.4474825456436 41.8114002894252,12.4473925427665 41.8113432884327))",-58088,"46652","46616",0.097310000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4464314992318 41.8124332960881,12.446365497048 41.8124012954655))",-57618,"46462","46372",0.006536000000000,47.468000000000004,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4475245479185 41.8113032885601,12.4474475449609 41.8113202884177,12.4473925427665 41.8113432884327))",-58089,"46810","46616",0.011907000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4465665069008 41.8120742928002,12.4465375055937 41.8121062930217))",-57731,"46551","46371",0.004293000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4466865113026 41.8120752933177,12.4466445094576 41.8121152935702))",-57775,"46577","46567",0.005650000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4465665069008 41.8120742928002,12.4466445094576 41.8121152935702))",-57776,"46551","46567",0.007921000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4467755152444 41.8119862927371,12.4468815186792 41.8120472938402))",-57879,"46599","46652",0.011113000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4467275130959 41.8120372930825,12.4466865113026 41.8120752933177))",-57788,"46584","46577",0.005424000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4467755152444 41.8119862927371,12.4467275130959 41.8120372930825))",-57802,"46599","46584",0.006927000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4468375167003 41.8120952941702,12.4468815186792 41.8120472938402))",-57880,"46598","46652",0.006464000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.446798514973 41.8121342944246,12.4467585131939 41.8121752946963))",-57818,"46612","46611",0.005638000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4466765101506 41.8121792943931,12.4466135080846 41.8121462937724))",-57759,"46566","46463",0.006390000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4466135080846 41.8121462937724,12.4465375055937 41.8121062930217))",-57730,"46463","46371",0.007721000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4466445094576 41.8121152935702,12.4466135080846 41.8121462937724))",-57760,"46567","46463",0.004300000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4466765101506 41.8121792943931,12.4467065114868 41.8121482941866))",-57794,"46566","46592",0.004252000000000,40.500000000000000,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4467065114868 41.8121482941866,12.4467585131939 41.8121752946963))",-57819,"46592","46611",0.005259000000000,39.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1795.261999999999944,"c,h"
"MULTILINESTRING ((12.4297208792896 41.8132192339099,12.4294928721439 41.8130562311938))",-51249,"41347","41333",0.026205000000000,50.899999999999999,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
"MULTILINESTRING ((12.4486946216485 41.8072272497072,12.4487406235422 41.8072002496113,12.4487596242705 41.8071962496486,12.4487976256365 41.807200249852,12.4488546276704 41.8072082501785,12.4489576313417 41.8072232507744,12.4491256372277 41.8072612518918,12.4493396446908 41.8073142533644,12.4494266476536 41.8073452540647,12.4495226508339 41.807391254964,12.4495946531627 41.8074332557191,12.4496446547434 41.8074672562954,12.449686656 41.8075052568809,12.4497356573706 41.8075622577001,12.4497736583596 41.8076162584406,12.449804659099 41.8076692591408,12.4498236594503 41.8077152597151,12.4498316593974 41.8077612602431))",-59083,"47577","47575",0.123939000000000,43.100000000000001,0,1.000000000000000,1.600000000000000,30.000000000000000,1839.839750000000095,"c,h"
