WKT,id,centroid,modes
"POINT (12.4364331502076 41.8100032277372)",42876,0,"c,h"
"POINT (12.4361191281427 41.8113972413877)",42877,0,"c,h"
"POINT (12.4398101799219 41.8225003763413)",42880,0,"c,h"
"POINT (12.4360380714216 41.8185123175165)",42890,0,"c,h"
"POINT (12.436062182517 41.8039191608179)",42892,0,"c,h"
"POINT (12.4368471730382 41.808994218647)",42916,0,"c,h"
"POINT (12.4365200868005 41.8188213228762)",42920,0,"c,h"
"POINT (12.4361191836069 41.8040521624871)",42923,0,"c,h"
"POINT (12.4361361853488 41.8039041609696)",42924,0,"c,h"
"POINT (12.4412822273013 41.8233903921333)",42933,0,"c,h"
"POINT (12.4369371268333 41.8155502894767)",42943,0,"c,h"
"POINT (12.4362351053879 41.8149742803182)",42944,0,"c,h"
"POINT (12.4391772312407 41.8126242674977)",42946,0,"c,h"
"POINT (12.4366491511284 41.8109322386318)",42947,0,"c,h"
"POINT (12.4361391015203 41.815019280396)",42959,0,"c,h"
"POINT (12.4360480989393 41.8149182789258)",42960,0,"c,h"
"POINT (12.4361600792216 41.8180733133128)",42964,0,"c,h"
"POINT (12.4367771207499 41.8155772890906)",42990,0,"c,h"
"POINT (12.4376701887338 41.8109202428184)",43033,0,"c,h"
"POINT (12.4369121005416 41.8189093254795)",43060,0,"c,h"
"POINT (12.4366871017611 41.8176533110256)",43117,0,"c,h"
"POINT (12.4364420941325 41.8174713080333)",43118,0,"c,h"
"POINT (12.4369121113968 41.817472310031)",43119,0,"c,h"
"POINT (12.4369441922396 41.8069231968097)",43122,0,"c,h"
"POINT (12.4366971173116 41.8156432894618)",43124,0,"c,h"
"POINT (12.436752119091 41.8156752900383)",43125,0,"c,h"
"POINT (12.4367231026308 41.8177133118228)",43128,0,"c,h"
"POINT (12.4369471051819 41.818465320854)",43129,0,"c,h"
"POINT (12.4369651129668 41.8175223107925)",43130,0,"c,h"
"POINT (12.4368521230754 41.8156342900203)",43138,0,"c,h"
"POINT (12.4368281000608 41.8185643214153)",43157,0,"c,h"
"POINT (12.4368291215277 41.8157272909227)",43158,0,"c,h"
"POINT (12.4369721259744 41.8158342926773)",43159,0,"c,h"
"POINT (12.4363541572429 41.808687213265)",43168,0,"c,h"
"POINT (12.4380812236019 41.8083022164285)",43169,0,"c,h"
"POINT (12.4370291285373 41.8157722922518)",43173,0,"c,h"
"POINT (12.4364181040755 41.8160382925281)",43174,0,"c,h"
"POINT (12.4371982277156 41.8034601606902)",43185,0,"c,h"
"POINT (12.4370781078583 41.8187483244503)",43189,0,"c,h"
"POINT (12.4375611391441 41.8169563072275)",43190,0,"c,h"
"POINT (12.4371441335638 41.8156662915986)",43193,0,"c,h"
"POINT (12.4376442260959 41.8058451881894)",43196,0,"c,h"
"POINT (12.4393712818 41.806871206508)",43197,0,"c,h"
"POINT (12.4370701082668 41.8186553234166)",43198,0,"c,h"
"POINT (12.437619140913 41.8170043079886)",43200,0,"c,h"
"POINT (12.4375301433374 41.8162502995075)",43203,0,"c,h"
"POINT (12.4375881459143 41.8161912991184)",43231,0,"c,h"
"POINT (12.4370381150829 41.8175973119074)",43235,0,"c,h"
"POINT (12.4368761081854 41.8177223125663)",43236,0,"c,h"
"POINT (12.4372631151404 41.8186843245443)",43247,0,"c,h"
"POINT (12.4377081301721 41.8188593283067)",43320,0,"c,h"
"POINT (12.4377501501832 41.8164143022002)",43423,0,"c,h"
"POINT (12.4377531473554 41.8168033063944)",43438,0,"c,h"
"POINT (12.4378451538404 41.8163923023653)",43448,0,"c,h"
"POINT (12.4378091490356 41.8168533071686)",43464,0,"c,h"
"POINT (12.4376951432375 41.8170663089764)",43465,0,"c,h"
"POINT (12.4383082504907 41.8058451909956)",43472,0,"c,h"
"POINT (12.4403123382665 41.803970179326)",43473,0,"c,h"
"POINT (12.4378981943778 41.8112822476717)",43482,0,"c,h"
"POINT (12.4378781970635 41.8108292427198)",43483,0,"c,h"
"POINT (12.4377941474874 41.8169853085241)",43486,0,"c,h"
"POINT (12.4377331272762 41.8193643338418)",43490,0,"c,h"
"POINT (12.4378132150313 41.8081332134803)",43514,0,"c,h"
"POINT (12.4381132251929 41.8082472159729)",43515,0,"c,h"
"POINT (12.4384331751611 41.816430305259)",43530,0,"c,h"
