id_detector,timestamp,value,mode,day_type
63626,1245,878.3285714,all,weekday
63626,1260,544.4666667,all,weekday
63626,1275,544.4666667,all,weekday
63626,1290,544.4666667,all,weekday
63626,1305,544.4666667,all,weekday
63626,1320,422.8809524,all,weekday
63626,1335,422.8809524,all,weekday
63626,1350,422.8809524,all,weekday
63626,1365,422.8809524,all,weekday
63626,1380,365.2285714,all,weekday
63626,1395,365.2285714,all,weekday
63626,1410,365.2285714,all,weekday
63626,1425,365.2285714,all,weekday
50496,0,881.2,all,weekend
50496,15,881.2,all,weekend
50496,30,881.2,all,weekend
50496,45,881.2,all,weekend
50496,60,548.9,all,weekend
50496,75,548.9,all,weekend
50496,90,548.9,all,weekend
50496,105,548.9,all,weekend
50496,120,457.75,all,weekend
50496,135,457.75,all,weekend
50496,150,457.75,all,weekend
50496,165,457.75,all,weekend
50496,180,285.475,all,weekend
50496,195,285.475,all,weekend
50496,210,285.475,all,weekend
50496,225,285.475,all,weekend
50496,240,330.2,all,weekend
50496,255,330.2,all,weekend
50496,270,330.2,all,weekend
50496,285,330.2,all,weekend
50496,300,667.925,all,weekend
50496,315,667.925,all,weekend
50496,330,667.925,all,weekend
50496,345,667.925,all,weekend
50496,360,1154.35,all,weekend
50496,375,1154.35,all,weekend
50496,390,1154.35,all,weekend
50496,405,1154.35,all,weekend
50496,420,1967.5,all,weekend
50496,435,1967.5,all,weekend
50496,450,1967.5,all,weekend
50496,465,1967.5,all,weekend
50496,480,2453.7,all,weekend
50496,495,2453.7,all,weekend
50496,510,2453.7,all,weekend
50496,525,2453.7,all,weekend
50496,540,2439.6,all,weekend
50496,555,2439.6,all,weekend
50496,570,2439.6,all,weekend
50496,585,2439.6,all,weekend
50496,600,3057,all,weekend
50496,615,3057,all,weekend
50496,630,3057,all,weekend
50496,645,3057,all,weekend
50496,660,2589.025,all,weekend
50496,675,2589.025,all,weekend
50496,690,2589.025,all,weekend
50496,705,2589.025,all,weekend
50496,720,2391.6,all,weekend
50496,735,2391.6,all,weekend
50496,750,2391.6,all,weekend
50496,765,2391.6,all,weekend
50496,780,3435.425,all,weekend
50496,795,3435.425,all,weekend
50496,810,3435.425,all,weekend
50496,825,3435.425,all,weekend
50496,840,3326.45,all,weekend
50496,855,3326.45,all,weekend
50496,870,3326.45,all,weekend
50496,885,3326.45,all,weekend
50496,900,3110.025,all,weekend
50496,915,3110.025,all,weekend
50496,930,3110.025,all,weekend
50496,945,3110.025,all,weekend
